artist,song,chord1,chord2,chord3,chord4,chord5
Taylor Swift,Blank Space,E,C#m,A,B,F#m
Gorillaz,Feel Good Inc.,D#m,A#m,G#m,Em,Bm
The Killers,Somebody Told Me,A#m,D#m,F#,G#,F
Ed Sheeran,Autumn Leaves,Em,G,C,D,A
Sara Bareilles,Breathe Again,F,C,Gm,Dm,Bb
Adele,Easy on Me,F,Gm,Bb,C,Dm
