Colour,Code,Count
Black,#05131D,85402
Light Gray,#A0A5A9,54422
White,#FFFFFF,54183
Dark Gray,#6C6E68,34858
Tan,#E4CD9E,25829
Red,#C91A09,25266
Red Brown,#582A12,19052
Blue,#0055BF,16017
Yellow,#F2CD37,15221
Dark Tan,#958A73,9190
